City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
306,San Juan,AR,-31.54,-68.54,96.76,12,0,11.79,clear sky
307,Rio Gallegos,AR,-51.62,-69.22,55.4,26,75,21.92,shower rain
308,Little Current,CA,45.98,-81.92,41.0,93,90,6.93,light rain
309,Ibaiti,BR,-23.85,-50.19,69.01,93,95,8.01,light rain
310,Richards Bay,ZA,-28.78,32.04,72.03,82,97,15.77,overcast clouds
311,Santa Cruz,BO,-17.8,-63.17,96.8,37,20,13.87,few clouds
312,Shetpe,KZ,44.17,52.12,60.4,28,0,16.4,clear sky
313,Port Hardy,CA,50.7,-127.42,48.2,100,90,10.29,light rain
314,Marsa Matruh,EG,31.35,27.25,71.6,78,0,7.63,clear sky
315,Margate,GB,51.38,1.39,51.01,82,39,5.53,scattered clouds
316,Ban Dung,TH,17.7,103.26,73.0,90,100,10.0,light rain
317,Bangolo,CI,7.01,-7.47,73.72,93,69,2.19,light rain
318,Sarandi,BR,-23.44,-51.87,82.71,49,100,4.9,overcast clouds
319,Inirida,CO,3.87,-67.92,90.34,53,75,0.74,broken clouds
320,Saint-Pierre,RE,-21.34,55.48,69.8,68,0,3.36,clear sky
321,Pisco,PE,-13.7,-76.22,66.2,77,90,8.05,overcast clouds
322,Bambous Virieux,MU,-20.34,57.76,73.4,78,40,11.41,scattered clouds
323,Vostok,RU,46.49,135.88,23.2,93,0,3.67,clear sky
324,Waingapu,ID,-9.66,120.26,79.36,76,4,3.53,clear sky
325,Constitucion,CL,-35.33,-72.42,58.24,57,0,17.67,clear sky
326,Hecun,CN,36.53,114.11,55.54,38,3,3.29,clear sky
327,College,US,64.86,-147.8,19.99,67,90,1.12,overcast clouds
328,Chalons-En-Champagne,FR,48.95,4.37,50.0,87,75,2.24,broken clouds
329,Dombarovskiy,RU,50.76,59.54,46.94,54,27,17.83,scattered clouds
330,Tulun,RU,54.56,100.58,42.69,85,100,16.42,light rain
331,Mezen,RU,65.85,44.24,32.88,96,100,7.43,overcast clouds
332,Itarema,BR,-2.92,-39.92,81.3,69,93,18.03,overcast clouds
333,Katherine,AU,-14.47,132.27,80.6,69,0,8.05,clear sky
334,Helong,CN,42.54,129.0,36.01,77,0,5.37,clear sky
335,Kruisfontein,ZA,-34.0,24.73,55.99,83,4,4.03,clear sky
336,Igarka,RU,67.47,86.58,16.48,96,100,14.23,overcast clouds
337,Port Augusta,AU,-32.5,137.77,48.2,87,0,8.05,clear sky
338,Auki,SB,-8.77,160.7,79.72,79,78,3.53,broken clouds
339,Sheregesh,RU,52.92,87.99,28.45,97,100,9.91,overcast clouds
340,Kirakira,SB,-10.45,161.92,80.73,81,97,7.4,moderate rain
341,Zhezkazgan,KZ,47.8,67.71,45.05,53,0,10.85,clear sky
342,Ambon,ID,-3.7,128.18,79.0,93,61,7.16,broken clouds
343,Khani,GE,41.96,42.96,55.4,87,0,2.24,clear sky
344,Maldonado,UY,-34.67,-54.92,82.4,58,40,9.17,scattered clouds
345,Cherskiy,RU,68.75,161.3,19.89,92,84,7.25,broken clouds
346,Mahebourg,MU,-20.41,57.7,73.4,78,40,11.41,scattered clouds
347,Manturovo,RU,58.34,44.76,42.48,91,100,11.95,light rain
348,Ahuimanu,US,21.44,-157.84,84.2,65,75,3.36,broken clouds
349,Tiksi,RU,71.69,128.87,18.14,95,100,16.28,overcast clouds
350,Ipojuca,BR,-8.4,-35.06,80.6,69,40,12.75,scattered clouds
351,Varna,BG,43.22,27.92,50.0,66,51,10.29,broken clouds
352,Rapid Valley,US,44.06,-103.15,26.6,85,90,11.41,snow
353,Camopi,GF,3.17,-52.32,88.12,50,71,3.94,broken clouds
354,Marmora,IT,44.46,7.09,53.01,93,45,2.24,scattered clouds
355,Sioux Lookout,CA,50.1,-91.92,32.0,86,75,12.75,broken clouds
356,Matara,LK,5.95,80.54,77.95,87,96,10.09,overcast clouds
357,Srednekolymsk,RU,67.45,153.68,21.96,97,75,3.02,broken clouds
358,Batagay-Alyta,RU,67.8,130.41,15.26,88,100,3.85,overcast clouds
359,Vila Velha,BR,-20.33,-40.29,69.8,94,90,4.7,light rain
