City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,Christchurch,-43.53,172.63,46.99,86,31,10.29,NZ,2020-10-14 19:53:43
169,San Pedro,14.35,121.02,77.0,94,75,5.82,PH,2020-10-14 19:58:00
170,Nayoro,44.35,142.46,39.18,87,96,4.65,JP,2020-10-14 19:58:00
171,Avarua,-21.21,-159.78,73.4,60,100,5.82,CK,2020-10-14 19:55:01
172,Quesnel,53.0,-122.5,42.8,87,20,4.7,CA,2020-10-14 19:58:00
173,Chernyshevskiy,63.01,112.47,24.28,95,100,9.37,RU,2020-10-14 19:58:00
174,Muros,42.78,-9.06,53.01,86,0,1.99,ES,2020-10-14 19:58:00
175,Contamana,-7.33,-75.02,98.85,29,65,4.97,PE,2020-10-14 19:58:00
176,Ruston,32.52,-92.64,78.8,39,1,3.36,US,2020-10-14 19:58:00
177,Bilokurakyne,49.53,38.73,64.2,54,90,3.91,UA,2020-10-14 19:58:00
178,Hilo,19.73,-155.09,82.4,54,1,6.78,US,2020-10-14 19:54:22
179,Warrnambool,-38.38,142.48,60.01,83,100,1.01,AU,2020-10-14 19:58:01
180,Yumen,40.28,97.2,32.11,80,0,3.89,CN,2020-10-14 19:58:01
181,Luderitz,-26.65,15.16,72.97,34,0,8.19,NA,2020-10-14 19:55:15
182,Hirado,33.36,129.55,66.99,25,0,17.78,JP,2020-10-14 19:59:06
183,Lacombe,52.47,-113.74,33.8,86,75,9.17,CA,2020-10-14 19:59:06
184,Carballo,43.21,-8.69,57.2,82,40,5.82,ES,2020-10-14 19:59:06
185,Rovinj,45.08,13.64,55.4,82,20,6.93,HR,2020-10-14 19:59:06
186,Eston,51.15,-108.75,41.0,30,20,14.99,CA,2020-10-14 19:59:06
187,Vestmannaeyjar,63.44,-20.27,48.27,81,100,31.18,IS,2020-10-14 19:57:19
188,Knysna,-34.04,23.05,55.4,93,0,2.24,ZA,2020-10-14 19:55:23
189,Sola,-13.88,167.55,80.67,77,85,4.81,VU,2020-10-14 19:58:16
190,Luba,3.46,8.55,77.0,100,20,4.7,GQ,2020-10-14 19:59:07
191,Karratha,-20.74,116.85,80.37,31,0,11.83,AU,2020-10-14 19:59:07
192,Jishou,28.32,109.72,58.35,90,100,3.36,CN,2020-10-14 19:59:07
193,Zhezkazgan,47.8,67.71,49.23,54,0,3.67,KZ,2020-10-14 19:59:07
194,Swellendam,-34.02,20.44,57.2,87,6,1.12,ZA,2020-10-14 19:59:07
195,Herat,34.5,62.0,44.19,54,0,8.7,AF,2020-10-14 19:59:07
196,Novaya Ladoga,60.1,32.3,44.01,55,12,8.7,RU,2020-10-14 19:59:07
197,Jalu,29.03,21.55,75.92,35,0,8.72,LY,2020-10-14 19:59:07
198,Surt,31.21,16.59,73.63,66,0,20.96,LY,2020-10-14 19:59:07
199,Port-Gentil,-0.72,8.78,78.8,78,75,12.75,GA,2020-10-14 19:56:15
200,Wanaka,-44.7,169.15,37.0,68,21,1.01,NZ,2020-10-14 19:59:08
201,Sur,22.57,59.53,77.79,44,0,8.88,OM,2020-10-14 19:56:51
202,Acapulco,16.86,-99.89,87.8,70,75,5.82,MX,2020-10-14 19:55:00
203,Bilibino,68.05,166.44,22.24,92,100,3.06,RU,2020-10-14 19:59:08
204,Boa Vista,2.82,-60.67,95.0,34,40,11.41,BR,2020-10-14 19:55:45
205,Vostok,46.49,135.88,19.83,97,50,5.48,RU,2020-10-14 19:59:08
206,Rocha,-34.48,-54.33,64.8,71,0,6.4,UY,2020-10-14 19:55:47
207,Amuntai,-2.42,115.25,75.87,93,79,1.52,ID,2020-10-14 19:59:08
208,Quelimane,-17.88,36.89,77.0,73,40,5.82,MZ,2020-10-14 19:59:08
209,Bredasdorp,-34.53,20.04,57.2,87,0,1.12,ZA,2020-10-14 19:55:48
210,Otradnoye,59.78,30.82,45.0,75,90,15.66,RU,2020-10-14 19:59:08
211,Mehamn,71.04,27.85,37.4,77,40,12.75,NO,2020-10-14 19:59:09
212,Namibe,-15.2,12.15,65.79,79,77,5.32,AO,2020-10-14 19:59:09
213,Katherine,-14.47,132.27,82.4,61,63,11.41,AU,2020-10-14 19:59:09
214,Immenstadt,47.56,10.22,41.0,87,99,1.99,DE,2020-10-14 19:56:19
215,Iranshahr,27.2,60.68,68.0,9,0,6.93,IR,2020-10-14 19:59:09
216,Te Anau,-45.42,167.72,35.31,86,5,1.03,NZ,2020-10-14 19:59:09
217,Ponta Do Sol,32.67,-17.1,71.6,73,75,10.29,PT,2020-10-14 19:59:09
218,Rundu,-17.93,19.77,76.6,23,74,6.42,NA,2020-10-14 19:59:09
219,Saint George,37.1,-113.58,73.4,13,1,3.36,US,2020-10-14 19:55:47
220,Nokaneng,-19.67,22.27,77.94,23,0,9.91,BW,2020-10-14 19:59:10
221,Puri,19.8,85.85,77.0,100,40,3.36,IN,2020-10-14 19:58:08
222,Khatanga,71.97,102.5,26.06,98,100,10.76,RU,2020-10-14 19:54:55
223,Parczew,51.64,22.9,44.6,100,75,4.7,PL,2020-10-14 19:59:10
224,Isangel,-19.55,169.27,77.18,82,99,8.1,VU,2020-10-14 19:55:33
225,Lompoc,34.64,-120.46,96.8,18,1,14.99,US,2020-10-14 19:55:37
226,Qinhuangdao,39.93,119.59,54.25,66,99,8.75,CN,2020-10-14 20:00:15
227,Unhel,23.33,75.57,76.68,74,100,8.01,IN,2020-10-14 20:00:16
228,Sisophon,13.59,102.97,73.47,96,65,5.79,KH,2020-10-14 20:00:16
229,Huarmey,-10.07,-78.15,69.46,66,14,10.16,PE,2020-10-14 20:00:16
230,Khasan,42.43,130.64,38.8,68,0,9.82,RU,2020-10-14 20:00:17
231,Omsukchan,62.53,155.8,30.02,96,100,1.28,RU,2020-10-14 20:00:17
232,East London,-33.02,27.91,62.64,71,15,16.67,ZA,2020-10-14 19:55:42
233,Tasiilaq,65.61,-37.64,29.26,95,97,2.62,GL,2020-10-14 20:00:17
234,Lyuban,52.8,28.0,47.21,79,7,6.55,BY,2020-10-14 20:00:17
235,Brookings,44.31,-96.8,59.0,47,40,34.45,US,2020-10-14 20:00:17
236,Kirando,-7.42,30.6,78.6,63,4,4.56,TZ,2020-10-14 20:00:17
237,Dhidhdhoo,6.88,73.1,82.2,78,100,23.24,MV,2020-10-14 20:00:17
238,Raudeberg,61.99,5.14,46.99,73,2,20.13,NO,2020-10-14 20:00:18
239,Turtas,58.94,69.13,50.41,93,100,12.46,RU,2020-10-14 20:00:18
240,Srandakan,-7.94,110.25,79.0,76,99,4.05,ID,2020-10-14 20:00:18
241,Pierre,44.37,-100.35,62.6,33,75,29.97,US,2020-10-14 20:00:18
242,San Quintin,30.48,-115.95,84.18,39,0,10.02,MX,2020-10-14 20:00:19
243,Cordoba,-31.41,-64.18,75.99,40,75,8.05,AR,2020-10-14 19:59:29
244,Baghdad,33.34,44.4,73.4,27,0,2.24,IQ,2020-10-14 20:00:19
245,Salym,60.06,71.48,44.08,89,100,13.71,RU,2020-10-14 20:00:19
246,Konakovo,56.7,36.77,53.62,92,100,6.67,RU,2020-10-14 20:00:19
247,Berbera,10.44,45.01,85.8,55,0,6.26,SO,2020-10-14 20:00:20
248,Akyab,20.15,92.9,80.4,83,87,5.28,MM,2020-10-14 20:00:20
249,Aswan,24.09,32.91,87.22,20,0,6.04,EG,2020-10-14 20:00:20
250,Weligama,5.97,80.42,78.69,85,97,12.71,LK,2020-10-14 19:56:57
251,Broome,42.25,-75.83,66.0,36,1,13.87,US,2020-10-14 19:56:53
252,Port Dover,42.78,-80.2,61.0,51,88,11.72,CA,2020-10-14 20:00:21
253,Honningsvag,70.98,25.97,39.2,80,75,17.22,NO,2020-10-14 20:00:21
254,Half Moon Bay,37.46,-122.43,84.99,64,1,17.22,US,2020-10-14 20:00:21
255,La Ronge,55.1,-105.28,32.0,74,75,18.34,CA,2020-10-14 19:58:47
256,Ixtapa,20.7,-105.2,91.4,52,75,6.93,MX,2020-10-14 20:00:22
257,Kyabe,9.45,18.94,77.32,78,52,2.73,TD,2020-10-14 20:00:22
258,Kasongo-Lunda,-6.47,16.82,70.54,94,100,1.52,CD,2020-10-14 20:00:22
259,Bubaque,11.28,-15.83,82.26,78,41,8.21,GW,2020-10-14 20:00:23
260,Castro,-24.79,-50.01,76.62,55,100,2.57,BR,2020-10-14 20:00:23
261,Tehachapi,35.13,-118.45,84.99,25,1,8.05,US,2020-10-14 20:00:23
262,Georgetown,5.41,100.34,82.4,78,20,2.24,MY,2020-10-14 19:58:42
263,Havelock,34.88,-76.9,75.0,49,1,6.11,US,2020-10-14 19:57:30
264,Port Blair,11.67,92.75,80.53,81,99,13.49,IN,2020-10-14 19:55:44
265,Souillac,-20.52,57.52,73.4,83,20,5.82,MU,2020-10-14 20:00:24
266,Yulara,-25.24,130.99,60.8,29,0,3.36,AU,2020-10-14 19:55:54
267,Neuquen,-38.95,-68.06,73.4,23,0,5.82,AR,2020-10-14 19:59:16
268,Leningradskiy,69.38,178.42,30.61,93,100,9.62,RU,2020-10-14 19:55:39
269,Caravelas,-17.71,-39.25,77.0,76,8,11.34,BR,2020-10-14 20:00:24
270,Sal Rei,16.18,-22.92,77.0,83,75,10.29,CV,2020-10-14 20:00:24
271,Kenai,60.55,-151.26,42.01,86,90,4.7,US,2020-10-14 20:01:29
272,San Cristobal,7.77,-72.22,82.4,83,40,2.24,VE,2020-10-14 20:01:30
273,Namatanai,-3.67,152.43,77.68,81,52,3.74,PG,2020-10-14 20:01:30
274,Itarema,-2.92,-39.92,81.63,70,77,18.59,BR,2020-10-14 20:01:30
275,Salinas,36.68,-121.66,87.01,33,1,9.17,US,2020-10-14 20:01:30
276,Qui Nhon,13.77,109.23,77.74,87,100,4.63,VN,2020-10-14 19:58:55
277,Vallenar,-28.57,-70.76,79.81,23,0,9.13,CL,2020-10-14 20:01:30
278,Hondo,32.45,130.2,66.0,59,32,18.01,JP,2020-10-14 20:01:30
279,Iqaluit,63.75,-68.51,35.6,97,90,21.92,CA,2020-10-14 19:57:29
280,Porto Novo,6.5,2.6,78.8,88,20,12.75,BJ,2020-10-14 20:01:31
281,Zhigansk,66.77,123.37,11.44,94,31,8.16,RU,2020-10-14 20:01:31
282,Codrington,-38.27,141.97,60.51,72,100,5.97,AU,2020-10-14 20:01:31
283,Lapeer,43.05,-83.32,59.0,41,1,10.29,US,2020-10-14 19:59:54
284,Khatassy,61.9,129.64,15.8,92,90,8.95,RU,2020-10-14 20:01:31
285,Baykit,61.67,96.37,38.57,88,100,12.15,RU,2020-10-14 20:01:31
286,Kahului,20.89,-156.47,86.0,51,1,0.38,US,2020-10-14 20:01:32
287,Fortuna,40.6,-124.16,63.0,82,75,12.75,US,2020-10-14 19:58:11
288,Mayor Pablo Lagerenza,-19.93,-60.77,105.85,21,63,14.2,PY,2020-10-14 20:01:32
289,Hualmay,-11.1,-77.61,67.93,68,16,9.06,PE,2020-10-14 20:01:32
290,Jinchang,38.5,102.17,43.83,53,70,0.85,CN,2020-10-14 20:01:32
291,Alnashi,56.19,52.48,50.94,55,100,8.99,RU,2020-10-14 20:01:32
292,Atar,20.52,-13.05,90.66,35,65,7.9,MR,2020-10-14 20:01:33
293,Umm Kaddadah,13.6,26.69,90.9,12,63,8.14,SD,2020-10-14 20:01:33
294,Poronaysk,49.22,143.12,33.48,87,0,12.39,RU,2020-10-14 20:01:33
295,Aguimes,27.91,-15.45,75.0,78,20,17.22,ES,2020-10-14 20:01:33
296,Port Hardy,50.7,-127.42,50.0,93,75,6.93,CA,2020-10-14 20:01:33
297,Tuy Hoa,13.08,109.3,76.96,89,100,3.89,VN,2020-10-14 20:01:33
298,Yar-Sale,66.83,70.83,31.23,92,27,12.68,RU,2020-10-14 20:01:34
299,Inuvik,68.35,-133.72,21.2,92,75,3.36,CA,2020-10-14 20:01:34
300,Pakxe,15.12,105.78,74.03,93,91,2.37,LA,2020-10-14 20:01:34
