City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
231,Camiri,BO,-20.05,-63.52,106.27,16,60,4.25,broken clouds
232,Qom,IR,34.64,50.88,56.44,28,0,4.14,clear sky
233,Tigre,AR,-34.43,-58.58,91.0,55,31,6.93,scattered clouds
234,Klaksvik,FO,62.23,-6.59,39.2,93,100,6.93,light rain
235,Cozumel,MX,20.51,-86.95,87.8,70,75,8.05,broken clouds
236,Bambous Virieux,MU,-20.34,57.76,75.2,69,40,9.17,scattered clouds
237,Darnetal,FR,49.45,1.15,55.0,76,76,4.7,broken clouds
238,Surgut,RU,61.25,73.42,30.2,74,34,13.42,scattered clouds
239,Aktau,KZ,43.65,51.2,60.8,19,0,11.18,clear sky
240,Xuddur,SO,4.12,43.89,77.45,70,39,8.48,light rain
241,Biltine,TD,14.53,20.92,93.16,11,0,6.08,clear sky
242,Zenzeli,RU,45.92,47.05,58.33,86,0,12.82,light rain
243,Meulaboh,ID,4.14,96.13,77.25,83,100,3.58,light rain
244,Ubinskoye,RU,55.31,79.68,31.01,92,67,12.77,broken clouds
245,Aklavik,CA,68.22,-135.01,8.6,92,20,3.36,few clouds
246,Kropotkin,RU,45.44,40.58,66.0,75,99,7.74,overcast clouds
247,Denizli,TR,37.84,29.07,71.6,43,75,8.05,thunderstorm
248,Santa Cecilia,BR,-26.96,-50.43,75.15,36,5,5.14,clear sky
249,Auki,SB,-8.77,160.7,78.28,81,73,3.74,broken clouds
250,Vostok,RU,46.49,135.88,22.87,94,1,3.22,clear sky
251,Yatou,CN,37.15,122.38,54.66,69,2,2.91,clear sky
252,Tasiilaq,GL,65.61,-37.64,33.8,80,40,18.34,scattered clouds
253,Harper,LR,4.38,-7.72,78.93,87,59,9.42,light rain
254,Tura,IN,25.52,90.22,74.25,89,0,2.28,clear sky
255,Limulunga,ZM,-15.1,23.14,83.39,14,0,6.29,clear sky
256,Samdari,IN,25.82,72.58,88.81,51,81,2.51,broken clouds
257,Suez,EG,29.97,32.53,76.37,59,0,11.86,clear sky
258,Sur,OM,22.57,59.53,84.07,27,0,12.21,clear sky
259,Skelleftea,SE,64.75,20.95,30.2,92,90,14.99,snow
260,Moussoro,TD,13.64,16.49,97.23,10,0,10.2,clear sky
261,Saint Anthony,US,45.02,-93.22,34.0,61,75,18.34,broken clouds
262,Longyearbyen,SJ,78.22,15.64,26.6,73,40,11.41,scattered clouds
263,Wellington,NZ,-41.29,174.78,55.4,87,100,20.8,light rain
264,Sawakin,SD,19.11,37.33,84.11,70,0,5.61,clear sky
265,Mapiripan,CO,2.89,-72.13,91.0,51,56,3.74,broken clouds
266,Libreville,GA,0.39,9.45,80.6,88,75,6.93,thunderstorm
267,Gushikawa,JP,26.35,127.87,77.0,78,20,10.29,few clouds
268,Naze,JP,28.37,129.48,75.2,94,90,23.04,overcast clouds
269,Santa Cruz,BO,-17.8,-63.17,96.8,30,4,17.22,clear sky
270,Honiara,SB,-9.43,159.95,75.2,100,20,2.24,few clouds
271,Kamaishi,JP,39.27,141.88,54.37,72,0,5.75,clear sky
272,Thiruvananthapuram,IN,8.48,76.92,82.4,78,20,2.24,mist
273,Taoudenni,ML,22.68,-3.98,95.79,13,0,8.05,clear sky
274,Manggar,ID,-2.88,108.27,80.91,83,100,8.14,overcast clouds
275,West Bay,KY,19.37,-81.42,89.6,70,40,11.41,scattered clouds
276,Samarai,PG,-10.62,150.67,79.12,88,83,8.5,broken clouds
277,Korla,CN,41.76,86.15,48.29,47,0,1.88,clear sky
278,Sitamau,IN,24.02,75.35,84.24,54,88,3.67,overcast clouds
279,Viedma,AR,-40.81,-63.0,77.0,22,4,1.99,clear sky
280,Belmonte,BR,-15.86,-38.88,78.8,65,75,8.05,broken clouds
281,Carahue,CL,-38.7,-73.17,60.8,48,75,8.05,broken clouds
282,Krasnyy Chikoy,RU,50.36,108.75,31.98,93,14,3.38,few clouds
283,Inhambane,MZ,-23.86,35.38,77.0,61,20,16.11,few clouds
284,Homer,US,59.64,-151.55,39.99,93,90,3.36,light rain
285,Naruto,JP,34.18,134.62,55.4,87,40,9.17,scattered clouds
286,Zaysan,KZ,47.47,84.87,52.02,42,98,8.95,overcast clouds
287,Aden,YE,12.78,45.04,84.83,62,0,5.32,clear sky
288,Osakarovka,KZ,50.56,72.57,35.37,76,6,3.31,clear sky
289,Torbay,CA,47.67,-52.73,57.99,87,75,9.17,broken clouds
290,Lagoa,PT,39.05,-27.98,62.51,62,61,15.32,broken clouds
291,Bubaque,GW,11.28,-15.83,83.12,80,2,9.51,clear sky
292,San Patricio,US,28.02,-97.52,87.01,55,20,16.11,few clouds
293,Quelimane,MZ,-17.88,36.89,78.01,69,9,8.05,clear sky
