City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
618,Caravelas,BR,72.95,broken clouds,-17.71,-39.25,Pousada dos Navegantes
620,Kuching,MY,73.4,scattered clouds,1.55,110.33,Hilton Kuching
621,Penarroya-Pueblonuevo,ES,66.2,broken clouds,38.3,-5.27,Casa Rural Los Miraderos De Cristina
623,Brigantine,US,64.4,broken clouds,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
628,Kupang,ID,77.88,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
630,Paita,PE,68.61,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
633,Westport,US,62.6,scattered clouds,41.14,-73.36,The Westport Inn
636,Luganville,VU,78.8,broken clouds,-15.53,167.17,The Espiritu Hotel
639,Narathiwat,TH,77.0,moderate rain,6.33,101.75,MUSOR
643,Banjarmasin,ID,75.2,overcast clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
645,Amanganj,IN,76.69,clear sky,24.43,80.03,Matki Choraha
649,Yenagoa,NG,76.32,few clouds,4.92,6.26,Amba Hotels Limited
653,Berasia,IN,78.82,broken clouds,23.63,77.43,golu narwaria
657,Itoman,JP,77.0,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
661,Payo,ID,73.51,overcast clouds,-3.75,103.64,Mess keban agung
664,Amahai,ID,79.0,broken clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
668,Malindi,KE,77.94,clear sky,-3.22,40.12,African House Resort
672,Chipinge,ZW,62.6,clear sky,-20.19,32.62,Mutare Club
679,Ilo,PE,63.63,broken clouds,-17.64,-71.34,Torreblanca Hotel
682,Hirapur,IN,73.35,light rain,21.53,79.77,GUDRI VILLAGE
683,Kiama,AU,60.01,overcast clouds,-34.68,150.87,The Sebel Kiama Harbourside
684,Ceuta,ES,68.0,overcast clouds,35.89,-5.31,Ceuta Puerta de Africa
